1074,555
901,672
898,757
930,918
949,963
836,1081
842,1147
807,1206
734,1377
968,1353
870,1527
1079,1587
1039,1734
868,1593
822,1806
759,1584
661,1604
675,1808
492,1722
441,1656
541,1542
645,1423
477,1384
358,1357
257,1386
107,1480
267,1559
154,1647
261,1757
410,1763
465,1933
576,1854
715,2010
768,1861
921,1991
983,1869
1066,1885
1181,1784
1341,1847
1390,1665
1471,1587
1324,1488
1320,1359
1257,1546
1153,1643
1043,1503
1137,1446
1091,1255
1192,1191
1016,1173
3848,874
3705,890
3583,902
3489,890
3373,975
3257,908
3085,1033
2939,940
2813,983
2728,1006
2830,1039
2952,1153
3111,1066
3178,1166
3312,1136
3443,1101
3564,1120
3657,1177
3783,1245
3673,1321
3554,1226
3423,1268
3334,1207
3211,1228
3111,1355
2962,1276
2810,1398
3023,1458
3095,1365
3235,1359
3321,1455
3436,1394
3539,1568
3666,1469
3560,1640
3480,1539
3331,1521
3247,1537
3102,1568
2936,1656
3108,1723
3192,1773
3275,1618
3396,1619
3511,1638
3661,1779
3593,1868
3458,1908
3298,1819
3256,2039
