900,53
790,110
762,158
726,196
698,211
643,254
591,237
487,206
395,228
342,298
321,376
261,396
195,450
144,514
147,644
189,713
266,785
336,832
405,867
470,914
542,941
622,947
693,944
789,943
884,914
964,871
1014,808
1068,718
1106,650
1141,555
1132,457
1088,348
1091,263
1059,198
1003,142
902,108
843,226
894,306
923,367
978,404
971,455
958,498
941,598
920,656
887,696
843,734
784,760
704,767
630,785
580,773
431,677
372,643
325,594
320,551
365,515
441,483
486,436
535,402
577,389
625,416
707,432
786,378
810,243
852,386
862,439
888,487
891,527
863,578
808,618
752,665
701,662
634,658
563,671
458,755
463,616
453,571
440,529
498,493
554,492
608,473
667,494
725,522
824,401
851,517
840,589
795,650
728,657
665,655
577,654
517,682
495,530
568,535
608,523
689,534
766,557
759,436
756,380
755,289
787,249
835,207
